Lat,Lon,City,State,Highlight,Decade,Count,Links
40.694021,-73.99034,"Brooklyn","New York","History","All",3,0
40.694021,-73.99034,"Brooklyn","New York","Poetry","All",7,0
33.733894,-118.291425,"San Pedro","California","All","All",1,0
33.733894,-118.291425,"San Pedro","California","All","1970",1,0
33.733894,-118.291425,"San Pedro","California","Poetry","1970",1,0
33.733894,-118.291425,"San Pedro","California","Poetry","All",1,0
39.29463,-76.625203,"Baltimore","Maryland","All","1890",5,0
39.29463,-76.625203,"Baltimore","Maryland","All","1900",3,0
39.29463,-76.625203,"Baltimore","Maryland","All","1910",8,0
44.983473,-93.268251,"Minneapolis","Minnesota","All","1890",6,0
44.983473,-93.268251,"Minneapolis","Minnesota","All","1900",3,0
31.7567,-85.9993,"Troy","Alabama","All","All",1,0
31.7567,-85.9993,"Troy","Alabama","All","1900",1,0
37.044056,-95.632756,"Coffeyville","Kansas","All","All",5,0
37.044056,-95.632756,"Coffeyville","Kansas","All","1890",3,0
39.317824,-82.102011,"Athens","Ohio","All","All",4,0
